0.000000,0.000000,0.000000,0.000000,0.000000
0.000355,0.999100,1.979381,-0.000038,-0.511483
0.000118,0.999400,1.763061,0.037594,-0.533182
0.000160,0.999700,1.047014,-0.012528,-0.375228
0.000355,0.999100,1.979381,-0.000038,-0.511483
0.000160,0.999700,1.047014,-0.012528,-0.375228
0.000118,0.999400,1.763061,0.037594,-0.533182
0.002566,0.992900,3.036849,-0.247755,-1.011178
0.000167,0.999200,4.047526,-0.059816,-0.386903
0.000256,0.999400,2.944071,-0.050178,-0.603185
0.000192,0.999600,1.072004,0.205549,-0.372447
0.000274,0.998200,3.596095,-0.012612,-0.447220
0.000072,0.999700,1.749297,-0.204263,-0.686483
0.000916,0.997900,4.105753,-0.140086,-0.416403
0.000446,0.998800,2.925169,0.064788,-0.416419
0.000031,0.999200,1.743159,0.046532,-0.481781
0.001639,0.996700,7.906839,-0.228081,-0.461006
0.003708,0.994300,19.691004,0.174044,-0.516937
0.002386,0.995400,7.153213,-0.053452,-0.514893
0.000311,0.997600,3.391117,-0.122400,-0.240662
0.000397,0.999000,1.924957,0.055619,-0.504116
0.000296,0.999500,1.841109,-0.084484,-0.485222
0.000016,0.999900,1.117269,-0.120276,-0.298276
0.000361,0.999300,1.317511,0.004945,-0.328915
0.000095,0.998500,0.994353,-0.042052,-0.270364
0.000129,0.999700,2.144740,-0.013114,-0.444221
0.000294,0.999400,1.876483,0.004463,-0.454841
0.000753,0.999400,2.348615,0.242950,-0.913360
0.001090,0.997500,2.064315,-0.053164,-0.421063
0.000031,0.999600,2.027366,0.042301,-0.595386
0.003029,0.990700,6.118112,0.182222,-0.605444
0.000079,0.999900,2.491919,-0.016091,-0.560570
0.004391,0.989600,5.656600,-0.217421,-0.422283
0.000086,0.999700,1.367803,-0.019198,-0.415413
0.000937,0.998400,4.251034,0.052029,-0.638943
0.001385,0.996900,1.428222,-0.156139,-0.473636
0.000262,0.999400,1.933159,-0.060347,-0.419546
0.000486,0.999000,2.111812,-0.073302,-0.422740
0.000073,0.997700,1.511821,0.301080,-0.584422
0.002618,0.997000,1.441038,-0.188358,-0.283938
0.000478,0.994000,2.224293,-0.084352,-0.333040
0.000434,0.999000,1.847364,-0.067004,-0.555533
0.000106,0.997800,1.598653,-0.035389,-0.376061
0.000100,0.991500,3.952747,-0.230475,-0.938743
0.022814,0.969800,3.139764,-0.028312,-0.469064
0.000478,0.997400,1.810838,0.018531,-0.283366
0.005004,0.989300,2.151403,-0.148115,-0.571332
0.001203,0.997300,4.272690,-0.128120,-0.413567
0.000336,0.998900,1.218115,0.002121,-0.370744
0.000097,0.999800,1.478658,-0.088957,-0.373604
0.000003,0.999500,1.716810,0.060791,-0.500789
